time,open,high,low,close,tick_volume,spread,real_volume,pct_change,target
1988-01-14,1.1945000000000001,1.1945000000000001,1.1945000000000001,1.1945000000000001,1,50,0,-0.0025052192066804535,-1
1988-01-15,1.1639,1.1647,1.1634,1.1642000000000001,231,50,0,-0.025366262034324016,-1
1988-01-18,1.1625,1.1625,1.1625,1.1625,1,50,0,-0.001460230200996393,-1
1988-01-19,1.1643,1.1673,1.1591,1.1644,1631,50,0,0.0016344086021504722,1
1988-01-20,1.176,1.1768,1.1739,1.176,581,50,0,0.009962212298179285,1
1988-01-21,1.1753,1.1753,1.1748,1.1752,91,50,0,-0.0006802721088434716,-1
1988-01-22,1.1678,1.1685,1.1675,1.1679,191,50,0,-0.006211708645337044,-1
1988-01-25,1.1663999999999999,1.168,1.1661,1.1667,351,50,0,-0.001027485229899705,-1
1988-01-26,1.1665,1.1666,1.166,1.1663999999999999,111,50,0,-0.0002571355104141748,-1
1988-01-27,1.1724999999999999,1.1764999999999999,1.1705,1.1724,1191,50,0,0.0051440329218108705,1
1988-01-28,1.1732,1.1733,1.173,1.1731,51,50,0,0.0005970658478333668,1
1988-01-29,1.1651,1.1651,1.1651,1.1651,1,50,0,-0.006819537976302081,-1
1988-02-01,1.1555,1.1559,1.1551,1.1557,141,50,0,-0.008067976997682691,-1
1988-02-02,1.1614,1.1627,1.1579,1.1612,941,50,0,0.004759020507052014,1
1988-02-03,1.1592,1.1604,1.1587,1.1592,341,50,0,-0.0017223561832586665,-1
1988-02-04,1.156,1.1571,1.154,1.1559,611,50,0,-0.0028467908902691796,-1
1988-02-05,1.1534,1.158,1.1514,1.1535,1311,50,0,-0.002076304178562083,-1
1988-02-08,1.1526,1.1537,1.1499,1.1525,751,50,0,-0.000866926744690022,-1
1988-02-09,1.15,1.1501000000000001,1.1496,1.1498,81,50,0,-0.0023427331887202474,-1
1988-02-10,1.157,1.1572,1.157,1.157,41,50,0,0.0062619586014960316,1
